PDQ,Quartier
1,"Baie-D'Urfé, Beaconsfield, Kirkland, Sainte-Anne-de-Bellevue, Senneville"
3,"L'Île-Bizard, Pierrefonds, Sainte-Geneviève, Roxboro"
4,Dollard-Des Ormeaux
5,"Dorval, L'Île-Dorval, Pointe-Claire"
7,Arrondissement de Saint-Laurent
8,"Lachine, Saint-Pierre"
9,"Notre-Dame-De-Grâce, Côte Saint-Luc, Hampstead, Montréal-Ouest (inclut ex-PDQ 11)"
10,"Bordeaux, Cartierville"
12,"Ville-Marie Ouest, Westmount"
13,LaSalle
15,"Saint-Paul, Petite-Bourgogne, Pointe-Saint-Charles, Saint-Henri, Ville-Émard"
16,"Île-des-Sœurs, Verdun"
20,"Centre-ville (Ville-Marie Ouest), Parc du Mont-Royal"
21,"Centre-ville (Ville-Marie Est), Centre-Sud, Vieux-Montréal (inclut ex-PDQ 22)"
23,Hochelaga-Maisonneuve
26,"Côte-des-Neiges, Mont-Royal, Outremont (inclut ex-PDQ 24)"
27,Ahuntsic
30,Saint-Michel
31,"Villeray, Parc-Extension (inclut ex-PDQ 33)"
35,"La Petite-Italie, La Petite-Patrie"
38,Le Plateau-Mont-Royal
39,Montréal-Nord
42,Saint-Léonard
44,Rosemont – La Petite-Patrie
45,Rivière-des-Prairies
46,Anjou
48,Mercier–Hochelaga-Maisonneuve
49,"Ville de Montréal-Est, Pointe-aux-Trembles"
